Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2020,1,La Pampa,75.76678781291396,76.92,-1.5
2020,2,La Pampa,76.10158288987562,75.77,0.44
2020,3,La Pampa,79.26447706670275,76.1,4.16
2020,4,La Pampa,81.76793248945148,79.26,3.16
2021,1,La Pampa,81.77676345752207,81.77,0.01
2021,2,La Pampa,82.08000672325404,81.78,0.37
2021,3,La Pampa,84.27996309653611,82.08,2.68
2021,4,La Pampa,89.56734270241313,84.28,6.27
2022,1,La Pampa,91.66332531408715,89.57,2.34
2022,2,La Pampa,92.98,91.66,1.44
2022,3,La Pampa,96.59,92.98,3.88
2022,4,La Pampa,94.8,96.59,-1.85
2023,1,La Pampa,96.55,94.8,1.85
2023,2,La Pampa,98.35,96.55,1.86
2023,3,La Pampa,99.0,98.35,0.66
2023,4,La Pampa,99.96,99.0,0.97
2014,1,La Rioja,16.294104815837528,0.0,0.0
2014,2,La Rioja,16.502564816345664,16.29,1.28
2014,3,La Rioja,16.50671327406722,16.5,0.03
2014,4,La Rioja,17.01075088723615,16.51,3.05
2015,1,La Rioja,16.703201787413843,17.01,-1.81
2015,2,La Rioja,16.883190981963825,16.7,1.08
2015,3,La Rioja,17.151129442032545,16.88,1.59
2015,4,La Rioja,17.315778648410653,17.15,0.96
2016,1,La Rioja,16.83351837249417,17.32,-2.79
2016,2,La Rioja,16.878902611111524,16.83,0.27
2016,3,La Rioja,17.074559106484113,16.88,1.16
2016,4,La Rioja,16.45531638401623,17.07,-3.63
2017,1,La Rioja,16.19552414605418,16.46,-1.58
2017,2,La Rioja,16.203445806143563,16.2,0.05
2017,3,La Rioja,51.46525230494696,16.2,217.62
2017,4,La Rioja,51.56847440546175,51.47,0.2
2018,1,La Rioja,51.44351011244806,51.57,-0.24
2018,2,La Rioja,50.97789073923241,51.44,-0.91
2018,3,La Rioja,50.73304318059562,50.98,-0.48
2018,4,La Rioja,50.347993917417234,50.73,-0.76
2019,1,La Rioja,50.184587883262736,50.35,-0.32
2019,2,La Rioja,48.704939144243156,50.18,-2.95
2019,3,La Rioja,47.94290512174643,48.7,-1.56
2019,4,La Rioja,47.13589011052434,47.94,-1.68
2020,1,La Rioja,46.346631384166976,47.14,-1.67
2020,2,La Rioja,49.83993501839552,46.35,7.54
2020,3,La Rioja,50.118113236302676,49.84,0.56
2020,4,La Rioja,50.11061211701148,50.12,-0.01
2021,1,La Rioja,49.80693519079345,50.11,-0.61
2021,2,La Rioja,76.9786615851933,49.81,54.55
2021,3,La Rioja,77.26016061386845,76.98,0.37
2021,4,La Rioja,77.9234900964576,77.26,0.86
2022,1,La Rioja,78.77459866564503,77.92,1.09
2022,2,La Rioja,80.14,78.77,1.73
2022,3,La Rioja,80.66,80.14,0.65
2022,4,La Rioja,79.86,80.66,-0.99
2023,1,La Rioja,79.74,79.86,-0.15
2023,2,La Rioja,80.01,79.74,0.34
2023,3,La Rioja,80.44,80.01,0.54
2023,4,La Rioja,80.22,80.44,-0.27
2014,1,Mendoza,31.91312298660578,0.0,0.0
2014,2,Mendoza,32.098238150241194,31.91,0.58
2014,3,Mendoza,32.313179561655694,32.1,0.67
2014,4,Mendoza,32.63838187615034,32.31,1.01
2015,1,Mendoza,32.36588756051825,32.64,-0.83
2015,2,Mendoza,32.49199583186653,32.37,0.39
2015,3,Mendoza,32.49199583186653,32.49,0.0
2015,4,Mendoza,32.48895249500142,32.49,-0.01
2016,1,Mendoza,32.12333888801278,32.49,-1.13
2016,2,Mendoza,32.12597179442594,32.12,0.01
2016,3,Mendoza,32.08835884566649,32.13,-0.12
2016,4,Mendoza,32.10735338479002,32.09,0.06
2017,1,Mendoza,31.843012770179662,32.11,-0.82
2017,2,Mendoza,31.75860536139077,31.84,-0.27
2017,3,Mendoza,35.70493177720565,31.76,12.43
2017,4,Mendoza,33.32562553415048,35.7,-6.66
2018,1,Mendoza,37.07215110240331,33.33,11.24
2018,2,Mendoza,36.97287272406129,37.07,-0.27
2018,3,Mendoza,37.990597267996215,36.97,2.75
2018,4,Mendoza,37.757783845911696,37.99,-0.61
2019,1,Mendoza,37.657164970282864,37.76,-0.27
2019,2,Mendoza,40.754624235362655,37.66,8.23
2019,3,Mendoza,40.73714258735342,40.75,-0.04
2019,4,Mendoza,33.64903072027183,40.74,-17.4
2020,1,Mendoza,33.14207670017271,33.65,-1.51
2020,2,Mendoza,36.25224342110005,33.14,9.38
2020,3,Mendoza,37.348633137232696,36.25,3.02
2020,4,Mendoza,38.62957896227819,37.35,3.43
2021,1,Mendoza,39.153661528996416,38.63,1.36
2021,2,Mendoza,40.97324182617088,39.15,4.65
2021,3,Mendoza,45.54828468056102,40.97,11.17
2021,4,Mendoza,47.505317090317746,45.55,4.3
2022,1,Mendoza,48.73524093558345,47.51,2.59
